code,link,county
1.10E+11,01/110101.html,东城区
1.10E+11,01/110102.html,西城区
1.10E+11,01/110105.html,朝阳区
1.10E+11,01/110106.html,丰台区
1.10E+11,01/110107.html,石景山区
1.10E+11,01/110108.html,海淀区
1.10E+11,01/110109.html,门头沟区
1.10E+11,01/110111.html,房山区
1.10E+11,01/110112.html,通州区
1.10E+11,01/110113.html,顺义区
1.10E+11,01/110114.html,昌平区
1.10E+11,01/110115.html,大兴区
1.10E+11,01/110116.html,怀柔区
1.10E+11,01/110117.html,平谷区
1.10E+11,01/110118.html,密云区
1.10E+11,01/110119.html,延庆区
1.20E+11,01/120101.html,和平区
1.20E+11,01/120102.html,河东区
1.20E+11,01/120103.html,河西区
1.20E+11,01/120104.html,南开区
1.20E+11,01/120105.html,河北区
1.20E+11,01/120106.html,红桥区
1.20E+11,01/120110.html,东丽区
1.20E+11,01/120111.html,西青区
1.20E+11,01/120112.html,津南区
1.20E+11,01/120113.html,北辰区
1.20E+11,01/120114.html,武清区
1.20E+11,01/120115.html,宝坻区
1.20E+11,01/120116.html,滨海新区
1.20E+11,01/120117.html,宁河区
1.20E+11,01/120118.html,静海区
1.20E+11,01/120119.html,蓟州区
1.30E+11,,市辖区
1.30E+11,01/130102.html,长安区
1.30E+11,01/130104.html,桥西区
1.30E+11,01/130105.html,新华区
1.30E+11,01/130107.html,井陉矿区
1.30E+11,01/130108.html,裕华区
1.30E+11,01/130109.html,藁城区
1.30E+11,01/130110.html,鹿泉区
1.30E+11,01/130111.html,栾城区
1.30E+11,01/130121.html,井陉县
1.30E+11,01/130123.html,正定县
1.30E+11,01/130125.html,行唐县
1.30E+11,01/130126.html,灵寿县
1.30E+11,01/130127.html,高邑县
1.30E+11,01/130128.html,深泽县
1.30E+11,01/130129.html,赞皇县
1.30E+11,01/130130.html,无极县
1.30E+11,01/130131.html,平山县
1.30E+11,01/130132.html,元氏县
1.30E+11,01/130133.html,赵县
1.30E+11,01/130171.html,石家庄高新技术产业开发区
1.30E+11,01/130172.html,石家庄循环化工园区
1.30E+11,01/130181.html,辛集市
1.30E+11,01/130183.html,晋州市
1.30E+11,01/130184.html,新乐市
1.30E+11,,市辖区
1.30E+11,02/130202.html,路南区
1.30E+11,02/130203.html,路北区
1.30E+11,02/130204.html,古冶区
1.30E+11,02/130205.html,开平区
1.30E+11,02/130207.html,丰南区
1.30E+11,02/130208.html,丰润区
1.30E+11,02/130209.html,曹妃甸区
1.30E+11,02/130224.html,滦南县
1.30E+11,02/130225.html,乐亭县
1.30E+11,02/130227.html,迁西县
1.30E+11,02/130229.html,玉田县
1.30E+11,02/130271.html,唐山市芦台经济技术开发区
1.30E+11,02/130272.html,唐山市汉沽管理区
1.30E+11,02/130273.html,唐山高新技术产业开发区
1.30E+11,02/130274.html,河北唐山海港经济开发区
1.30E+11,02/130281.html,遵化市
1.30E+11,02/130283.html,迁安市
1.30E+11,02/130284.html,滦州市
1.30E+11,,市辖区
1.30E+11,03/130302.html,海港区
1.30E+11,03/130303.html,山海关区
1.30E+11,03/130304.html,北戴河区
1.30E+11,03/130306.html,抚宁区
1.30E+11,03/130321.html,青龙满族自治县
1.30E+11,03/130322.html,昌黎县
1.30E+11,03/130324.html,卢龙县
1.30E+11,03/130371.html,秦皇岛市经济技术开发区
1.30E+11,03/130372.html,北戴河新区
1.30E+11,,市辖区
1.30E+11,04/130402.html,邯山区
1.30E+11,04/130403.html,丛台区
1.30E+11,04/130404.html,复兴区
1.30E+11,04/130406.html,峰峰矿区
1.30E+11,04/130407.html,肥乡区
1.30E+11,04/130408.html,永年区
1.30E+11,04/130423.html,临漳县
1.30E+11,04/130424.html,成安县
1.30E+11,04/130425.html,大名县
1.30E+11,04/130426.html,涉县
1.30E+11,04/130427.html,磁县
1.30E+11,04/130430.html,邱县
1.30E+11,04/130431.html,鸡泽县
1.30E+11,04/130432.html,广平县
1.30E+11,04/130433.html,馆陶县
1.30E+11,04/130434.html,魏县
1.30E+11,04/130435.html,曲周县
1.30E+11,04/130471.html,邯郸经济技术开发区
1.30E+11,04/130473.html,邯郸冀南新区
1.30E+11,04/130481.html,武安市
1.31E+11,,市辖区
1.31E+11,05/130502.html,桥东区
1.31E+11,05/130503.html,桥西区
1.31E+11,05/130521.html,邢台县
1.31E+11,05/130522.html,临城县
1.31E+11,05/130523.html,内丘县
1.31E+11,05/130524.html,柏乡县
1.31E+11,05/130525.html,隆尧县
1.31E+11,05/130526.html,任县
1.31E+11,05/130527.html,南和县
1.31E+11,05/130528.html,宁晋县
1.31E+11,05/130529.html,巨鹿县
1.31E+11,05/130530.html,新河县
1.31E+11,05/130531.html,广宗县
1.31E+11,05/130532.html,平乡县
1.31E+11,05/130533.html,威县
1.31E+11,05/130534.html,清河县
1.31E+11,05/130535.html,临西县
1.31E+11,05/130571.html,河北邢台经济开发区
1.31E+11,05/130581.html,南宫市
1.31E+11,05/130582.html,沙河市
